CustomerID,TotalRevenue,MonthlyOrder,MonthlyOrderTotal,OrderMonth,PreviousOrderMonth,ConsecutiveOrder
12347,4310.0,2011-08,584.91,2011-01,2010-12,true
12347,4310.0,2011-10,1294.32,2011-01,2010-12,true
12347,4310.0,2011-01,475.39,2011-01,2010-12,true
12347,4310.0,2011-06,382.52,2011-01,2010-12,true
12347,4310.0,2010-12,711.79,2011-01,2010-12,true
12347,4310.0,2011-04,636.25,2011-01,2010-12,true
12347,4310.0,2011-12,224.82,2011-01,2010-12,true
12349,1757.55,2011-11,1757.55,,,false
12354,1079.4,2011-04,1079.4,,,false
12355,459.4,2011-05,459.4,,,false
12356,2811.43,2011-11,58.35,,,false
12356,2811.43,2011-04,481.46,,,false
12356,2811.43,2011-01,2271.62,,,false
12357,6207.67,2011-11,6207.67,,,false
12364,1313.1,2011-09,79.8,2011-09,2011-08,true
12364,1313.1,2011-09,79.8,2011-10,2011-09,true
12364,1313.1,2011-08,623.92,2011-09,2011-08,true
12364,1313.1,2011-08,623.92,2011-10,2011-09,true
12364,1313.1,2011-12,310.32,2011-09,2011-08,true
12364,1313.1,2011-12,310.32,2011-10,2011-09,true
12364,1313.1,2011-10,299.06,2011-09,2011-08,true
12364,1313.1,2011-10,299.06,2011-10,2011-09,true
12371,1887.96,2011-10,1887.96,,,false
12372,1298.04,2011-05,515.7,,,false
12372,1298.04,2011-09,383.12,,,false
12372,1298.04,2011-02,399.22,,,false
12374,742.93,2011-11,742.93,,,false
12379,850.29,2011-07,-1.95,2011-07,2011-06,true
12379,850.29,2011-06,459.84,2011-07,2011-06,true
12379,850.29,2011-09,392.4,2011-07,2011-06,true
12380,2720.56,2011-06,607.55,2011-10,2011-09,true
12380,2720.56,2011-06,607.55,2011-11,2011-10,true
12380,2720.56,2011-09,626.01,2011-10,2011-09,true
12380,2720.56,2011-09,626.01,2011-11,2011-10,true
12380,2720.56,2011-10,446.61,2011-10,2011-09,true
12380,2720.56,2011-10,446.61,2011-11,2011-10,true
12380,2720.56,2011-11,1040.39,2011-10,2011-09,true
12380,2720.56,2011-11,1040.39,2011-11,2011-10,true
12384,566.16,2011-11,292.58,2011-09,2011-08,true
12384,566.16,2011-09,-19.11,2011-09,2011-08,true
12384,566.16,2011-08,292.69,2011-09,2011-08,true
12386,401.9,2011-01,143.0,2011-01,2010-12,true
12386,401.9,2010-12,258.9,2011-01,2010-12,true
12390,549.84,2011-09,549.84,,,false
12394,1272.48,2011-10,891.4,,,false
12394,1272.48,2011-05,381.08,,,false
12395,2998.28,2011-01,-2.95,2011-01,2010-12,true
12395,2998.28,2011-01,-2.95,2011-02,2011-01,true
12395,2998.28,2011-01,-2.95,2011-03,2011-02,true
12395,2998.28,2011-01,-2.95,2011-06,2011-05,true
12395,2998.28,2011-01,-2.95,2011-11,2011-10,true
12395,2998.28,2011-05,331.79,2011-01,2010-12,true
12395,2998.28,2011-05,331.79,2011-02,2011-01,true
12395,2998.28,2011-05,331.79,2011-03,2011-02,true
12395,2998.28,2011-05,331.79,2011-06,2011-05,true
12395,2998.28,2011-05,331.79,2011-11,2011-10,true
12395,2998.28,2011-06,163.9,2011-01,2010-12,true
12395,2998.28,2011-06,163.9,2011-02,2011-01,true
12395,2998.28,2011-06,163.9,2011-03,2011-02,true
12395,2998.28,2011-06,163.9,2011-06,2011-05,true
12395,2998.28,2011-06,163.9,2011-11,2011-10,true
12395,2998.28,2011-02,216.66,2011-01,2010-12,true
12395,2998.28,2011-02,216.66,2011-02,2011-01,true
