InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
542794,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2011-02-01,2.46,Unknown,United Kingdom,29.52
542862,22697,GREEN REGENCY TEACUP AND SAUCER,2,2011-02-01,2.95,14606,United Kingdom,5.9
542890,21658,GLASS  BEURRE DISH,1,2011-02-01,3.95,15311,United Kingdom,3.95
542898,22567,20 DOLLY PEGS RETROSPOT,2,2011-02-01,1.25,16110,United Kingdom,2.5
542906,21905,MORE BUTTER METAL SIGN ,1,2011-02-01,4.13,Unknown,United Kingdom,4.13
542929,22381,TOY TIDY PINK POLKADOT,2,2011-02-02,2.1,17811,United Kingdom,4.2
542996,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-02-02,0.95,15046,United Kingdom,0.95
542996,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2011-02-02,8.5,15046,United Kingdom,17.0
542998,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,6,2011-02-02,1.8,Unknown,United Kingdom,10.8
543013,22620,4 TRADITIONAL SPINNING TOPS,1,2011-02-02,2.46,Unknown,United Kingdom,2.46
543013,22916,HERB MARKER THYME,1,2011-02-02,1.63,Unknown,United Kingdom,1.63
543022,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,2011-02-02,2.95,16771,United Kingdom,5.9
543022,84723,CHERRY BLOSSOM CANVAS ART PICTURE,1,2011-02-02,7.95,16771,United Kingdom,7.95
543094,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,5,2011-02-03,0.85,16030,United Kingdom,4.25
543094,22457,NATURAL SLATE HEART CHALKBOARD ,9,2011-02-03,2.95,16030,United Kingdom,26.55
543096,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-02-03,4.95,14044,United Kingdom,4.95
543097,84078A,SET/4 WHITE RETRO STORAGE CUBES ,1,2011-02-03,74.96,Unknown,United Kingdom,74.96
543132,22819,"BIRTHDAY CARD, RETRO SPOT",12,2011-02-03,0.42,15235,United Kingdom,5.04
543202,22777,GLASS CLOCHE LARGE,72,2011-02-04,7.65,17291,United Kingdom,550.8000000000001
C543241,84766,SILVER ROCOCO CANDLE STICK,-1,2011-02-04,1.95,17315,United Kingdom,-1.95
543242,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2011-02-04,2.55,15090,United Kingdom,20.4
543245,22467,GUMBALL COAT RACK,1,2011-02-04,2.55,16725,United Kingdom,2.55
543250,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-02-04,0.95,13911,United Kingdom,11.4
543272,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-02-06,1.95,14810,United Kingdom,19.5
543274,22161,HEART DECORATION RUSTIC HANGING ,2,2011-02-06,0.65,17392,United Kingdom,1.3
543309,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,2011-02-07,1.49,18118,United Kingdom,1.49
543342,22365,DOORMAT RESPECTABLE HOUSE,2,2011-02-07,7.95,17162,United Kingdom,15.9
543370,22917,HERB MARKER ROSEMARY,12,2011-02-07,0.65,12359,Cyprus,7.800000000000001
543387,22966,GINGERBREAD MAN COOKIE CUTTER,24,2011-02-08,1.25,14646,Netherlands,30.0
543397,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-02-08,0.95,17859,United Kingdom,1.9
543448,21955,DOORMAT UNION JACK GUNS AND ROSES,3,2011-02-08,12.46,Unknown,United Kingdom,37.38
543451,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-02-08,5.79,Unknown,United Kingdom,5.79
543451,82600,NO SINGING METAL SIGN,1,2011-02-08,4.13,Unknown,United Kingdom,4.13
543458,20725,LUNCH BAG RED RETROSPOT,2,2011-02-08,1.65,14587,United Kingdom,3.3
543464,21988,PACK OF 6 SKULL PAPER PLATES,12,2011-02-08,0.85,16779,United Kingdom,10.2
543467,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2011-02-08,16.63,Unknown,United Kingdom,16.63
543486,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-02-09,2.95,13319,United Kingdom,17.7
543518,47566B,TEA TIME PARTY BUNTING,50,2011-02-09,3.75,12753,Japan,187.5
543519,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-02-09,1.25,17083,United Kingdom,30.0
543533,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,11,2011-02-09,4.13,Unknown,United Kingdom,45.43
