InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
545226,84584,PINK GINGHAM CAT WITH SCARF,6,2011-03-01,2.55,12428,Finland,15.3
545237,84978,HANGING HEART JAR T-LIGHT HOLDER,36,2011-03-01,1.06,15709,United Kingdom,38.16
545238,21500,PINK POLKADOT WRAP ,25,2011-03-01,0.42,15241,United Kingdom,10.5
545276,21068,VINTAGE BILLBOARD LOVE/HATE MUG,1,2011-03-01,1.25,12933,United Kingdom,1.25
C545277,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,-1,2011-03-01,1.25,12933,United Kingdom,-1.25
545289,21754,HOME BUILDING BLOCK WORD,3,2011-03-01,5.95,14732,United Kingdom,17.85
545303,22777,GLASS CLOCHE LARGE,2,2011-03-01,8.5,15319,United Kingdom,17.0
545333,71053,WHITE METAL LANTERN,3,2011-03-01,8.29,Unknown,United Kingdom,24.87
545428,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-02,4.95,14239,United Kingdom,14.85
545447,22427,ENAMEL FLOWER JUG CREAM,3,2011-03-02,5.95,17426,United Kingdom,17.85
545468,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-03-03,1.45,16571,United Kingdom,17.4
545469,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-03-03,1.25,17646,United Kingdom,15.0
545471,22089,PAPER BUNTING VINTAGE PAISLEY,6,2011-03-03,2.95,15087,United Kingdom,17.7
545515,21086,SET/6 RED SPOTTY PAPER CUPS,12,2011-03-03,0.65,12727,France,7.800000000000001
545530,21439,BASKET OF TOADSTOOLS,12,2011-03-03,1.25,17416,United Kingdom,15.0
545555,22197,SMALL POPCORN HOLDER,10,2011-03-03,0.85,17757,United Kingdom,8.5
545557,22861,EASTER TIN CHICKS IN GARDEN,12,2011-03-03,1.65,12500,Germany,19.8
545568,21936,RED RETROSPOT PICNIC BAG,1,2011-03-03,5.79,Unknown,United Kingdom,5.79
545568,85186C,BUNNY EGG GARLAND,3,2011-03-03,0.83,Unknown,United Kingdom,2.49
545583,22568,FELTCRAFT CUSHION OWL,4,2011-03-04,3.75,12553,France,15.0
545591,20716,PARTY FOOD SHOPPER BAG,10,2011-03-04,1.25,17581,United Kingdom,12.5
545596,22248,DECORATION  PINK CHICK MAGIC GARDEN,16,2011-03-04,0.85,14447,United Kingdom,13.6
545653,20675,BLUE POLKADOT BOWL,2,2011-03-04,1.25,15311,United Kingdom,2.5
545657,15056N,EDWARDIAN PARASOL NATURAL,3,2011-03-04,5.95,14911,EIRE,17.85
545660,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2,2011-03-04,2.95,17191,United Kingdom,5.9
545664,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-03-04,9.95,12584,Italy,19.9
545688,22479,DAISY GARDEN MARKER,6,2011-03-06,1.25,16033,United Kingdom,7.5
545713,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-03-07,8.29,Unknown,United Kingdom,8.29
545715,21218,RED SPOTTY BISCUIT TIN,1,2011-03-07,8.29,Unknown,United Kingdom,8.29
545717,20711,JUMBO BAG TOYS ,1,2011-03-07,4.13,Unknown,United Kingdom,4.13
545851,22295,HEART FILIGREE DOVE LARGE,1,2011-03-07,1.65,15026,United Kingdom,1.65
545854,21931,JUMBO STORAGE BAG SUKI,10,2011-03-07,1.95,14817,United Kingdom,19.5
545865,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,100,2011-03-07,1.65,15769,United Kingdom,165.0
545870,85150,LADIES & GENTLEMEN METAL SIGN,6,2011-03-07,2.55,17162,United Kingdom,15.3
C545886,M,Manual,-1,2011-03-07,222.59,Unknown,United Kingdom,-222.59
545897,22497,SET OF 2 TINS VINTAGE BATHROOM ,1,2011-03-07,8.29,Unknown,United Kingdom,8.29
545901,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,6,2011-03-07,0.85,15834,United Kingdom,5.1
545906,21930,JUMBO STORAGE BAG SKULLS,10,2011-03-08,1.95,15764,United Kingdom,19.5
545945,21531,RED RETROSPOT SUGAR JAM BOWL,3,2011-03-08,2.55,16710,United Kingdom,7.649999999999999
545978,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-03-08,3.75,13975,United Kingdom,3.75
545995,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2011-03-08,1.25,15023,United Kingdom,1.25
545996,21207,SKULL AND CROSSBONES  GARLAND ,3,2011-03-08,1.65,14367,United Kingdom,4.949999999999999
545998,22221,CAKE STAND LOVEBIRD 2 TIER PINK,2,2011-03-08,9.95,13373,United Kingdom,19.9
546001,22423,REGENCY CAKESTAND 3 TIER,16,2011-03-08,10.95,13854,United Kingdom,175.2
546007,22902,TOTE BAG I LOVE LONDON,1,2011-03-08,4.13,Unknown,United Kingdom,4.13
546007,21253,SET OF PICTURE FRAME  STICKERS,1,2011-03-08,5.79,Unknown,United Kingdom,5.79
546008,37448,CERAMIC CAKE DESIGN SPOTTED MUG,1,2011-03-08,3.29,Unknown,United Kingdom,3.29
546013,22777,GLASS CLOCHE LARGE,2,2011-03-08,8.5,16495,United Kingdom,17.0
546021,85175,dotcom sold sets,-345,2011-03-08,0.0,Unknown,United Kingdom,0.0
546037,22605,WOODEN CROQUET GARDEN SET,4,2011-03-09,12.75,14825,United Kingdom,51.0
546110,23052,RECYCLED ACAPULCO MAT TURQUOISE,6,2011-03-09,8.25,17770,United Kingdom,49.5
546133,22899,CHILDREN'S APRON DOLLY GIRL ,6,2011-03-09,2.1,14291,United Kingdom,12.6
546166,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,48,2011-03-10,2.1,16553,United Kingdom,100.8
546182,85194L,HANGING SPRING FLOWER EGG LARGE,12,2011-03-10,0.85,14334,United Kingdom,10.2
546237,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-10,4.95,16625,United Kingdom,14.85
546242,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,2,2011-03-10,2.1,16743,United Kingdom,4.2
546246,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,32,2011-03-10,0.65,14841,United Kingdom,20.8
546249,22386,JUMBO BAG PINK POLKADOT,6,2011-03-10,1.95,14606,United Kingdom,11.7
546252,23007, SPACEBOY BABY GIFT SET,3,2011-03-10,16.95,14930,Channel Islands,50.84999999999999
